Place ID,order_key,PDF_File,as_of_dates,n_snapshots
213281,396646,NPDES R3-2008-0007 for Carmel Area WW-Pebble Bch CSD.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
213294,141169,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
213332,418040,NPDES_Permit_R3_2011_0003_CA0047364_CarpinteriaSanitaryDistrict_WWTP.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
213332,418040,Revised_CA0047364_Carpinteria.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
213409,134592,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
213409,416209,2014-0153-dwq-r5234.pdf,2026-08-13,1
213409,416209,2014_0153_dwq.pdf,2026-08-13,1
213432,400787,r5-2008-0111_npdes.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
213432,400787,r5-2015-0031_npdes.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
213432,442921,r5-2026-0023_ldgo.pdf,2026-08-13,1
